块编号	韩文原文	中文译文	备注
000.0	안녕하세요 삭입니다.	大家好，我是索。	
000.1	정말 죄송하게도 지병 악화로 시즌 3는 월 1회 연재가 가능한 매일+에서 하게 되었습니다.	非常抱歉，因为宿疾恶化，第三季将改在每月更新一次的「每日+」上连载。	
000.2	독자님들의 너른 양해 부탁드립니다.	恳请各位读者谅解。	
000.3	거듭 죄송하고 감사합니다.	再次致歉，也谢谢大家。	
001.0	꿈은,	梦，	
001.1	과거이자 미래이자 현재이다.	既是过去，也是未来，↵也是现在。	
002.0	몽유도원	梦游桃源	
003.0	개표자 캠프	开票人营地	
003.1	0066		保留原文
004.0	반갑다.. '장광남	好久不见.. 「张光南」	
005.0	죽었나 보다..	看来是死了..	
005.1	키킥. 쫄지마~	嘻嘻。别怕~	
005.2	일단 사신은 아니니깐.	反正我不是死神。	
007.0	반갑다아~ 광남아	好久不见啊~ 光南	
008.0	• 24세 D- 10E 사인: ????	• 24岁 D-10E↵死因: ????	
008.1	아... 아냐..	啊... 不是..	
008.2	가자고 빨리.	快走吧。	
008.3	장광남 이란 자식이 축 처져 가지곤...	张光南这小子↵居然一副↵蔫头耷脑的样子...	
008.4	핏		保留原文
009.0	아이고~ 이게 누구여?!!	哎哟~ 这不是谁嘛?!!	
009.1	훌렁~		保留原文
009.2	우리 강아지~!!	我的乖崽~!!	
012.0	울지마 머리/아파	别哭了 头疼	
012.1	여자한테,	对女人，	
012.2	뿡뚱공		保留原文
012.3	씨씨씨		保留原文
012.4	A AC		保留原文
012.5	각오 없이 함부로 덤비지 마.	没有觉悟就别↵随便扑上来。	
014.0	난 슈빌 워핸드-	我是修比尔·战争手-	
014.1	위대한 암당의 대의원 이지~	伟大的暗党↵大议员~	
014.2	쨘~	锵~	
014.3	자~ 어떤 게 나의 진짜 모습일까요~?	来~ 哪一个↵才是我的真身呢~？	
017.0	..형님??..	..大哥??..	
018.0	역시 이 녀석은, 네가 안중에도 없는 것 같은데..?	看来这家伙↵根本没把你↵放在眼里啊..?	
018.1	이걸로 더 이상 네게 빚은 없어. 장.광.남.	这样一来我就不欠你的了。张.光.南.	
019.0	☆t 뽀뽀......?		保留原文
019.1	3k.*. 파		保留原文
020.0	광남아.	光南。	
021.0	' 우주대선'	「宇宙大选」	
021.1	우주대선 SSHINI		保留原文
022.0	번		保留原文
022.1	쩍		保留原文
023.0	.. 더 이상	.. 我不会再	
023.1	그 무엇을 위해서도,	为了任何东西，	
023.2	나를 희생하지 않아.	牺牲我自己。	
023.3	너는..!!	你..!!	
026.0	현장.. 눈꺼풀 좀 빌리자.	玄奘.. 借你的眼皮一用。	
026.1	네! 선생님.	是! 老师。	
027.0	~+		保留原文
029.0	눈 깜짝할 사이	眨眼之间	
029.1	부하들 걱정은 마라.	不用担心你的部下。	
029.2	레이어만 강제로 분리시킨 것 뿐이니.	只是把「层」强制↵分离开了而已。	
029.3	...레이어..?	...层..？	
030.0	너.. 정체가 뭐야?	你.. 到底是什么人？	
034.0	.?		保留原文
035.0	CJ		保留原文
036.0	뭐.. 뭐여...	什.. 什么啊...	
037.0	여긴 또 어디여...	这里又是哪儿...	
037.1	여긴, 네 영혼 가장 깊은 곳. 아트만이다..	这里是你灵魂的最深处。↵是阿特曼。	
038.0	이렇게 휑하고 텅 빈 게 내 영혼 이라니...	这么空空荡荡的↵居然是我的灵魂...	
039.0	젠장.. 게르망 말이 맞았잖아.	可恶.. 盖尔曼说得没错。	
039.1	개표자가 되면서 공정성을 위해 바뀐 것이지,	是当上开票人后↵为了公正才变的，	
039.2	그전엔 이렇지 않았 으니 상심 말거라.	之前并非如此，↵不必伤心。	
040.0	?		保留原文
040.1	그걸 너가 어떻게 알아?	那种事你怎么会知道？	
040.2	죽기 전 백업 해놨던 지금 그 모습이 바로 증거다.	死前备份下来的↵现在这副模样↵就是证据。	
040.3	오..	哦..	
041.0	훽		保留原文
041.1	그러고 보니 마음이 다시 예전처럼 편안해졌네..?	这么一说，心里↵又像从前一样↵平静下来了..?	
041.2	미안~	抱歉~	
042.0	개표자일 때 내가 좀 재수가 없었지? ㅋ	我当开票人的时候↵是不是挺讨厌的？ 呵	
042.1	개표자 로서의 역할을 잘 수행하고 있을 뿐이다.	我只是在好好履行↵开票人的职责罢了。	
043.0	얼~ 너그럽네? 베리 땡큐~ ㅋ	哟~ 挺大度嘛？ 太谢谢了~ 呵	
043.1	그런데.. 나한텐 무슨 일로..?	不过.. 找我什么事..?	
044.0	너. 방바다를 구하고 싶지?	你。想救方巴达吧？	
044.1	나가 그걸 어떻게, 기>	你怎么↵会知道..?!?	
045.0	아 아니! 구할수있어!??	啊，不是!↵能救得了?!?	
045.1	있다.	能。	
046.0	어떻게 유!?	怎么救!?	
046.1	분명 7 거울이 깨져서 다시는 나올 수가 없다고.!!	那面镜子不是碎了↵再也出不来了吗..!!	
046.2	물론 고르곤으론 나오진 못한다.	当然，靠戈耳工是出不来的。	
047.0	-그렇기	-所以	
047.1	고르곤의 비상구. '퍼플 홀리룸 으로 꺼내야 한다.	必须从戈耳工的紧急出口↵「紫色圣室」把她弄出来。	
048.0	뭐?? 홀리룸?!	什么?? 圣室?!	
048.1	아주 오래전 신이. 레이어 감옥<고르곤〉과	很久以前，神造了层狱〈戈耳工〉，	
049.0	그<고르곤>의 비상구 열쇠인 <화이트 쥬스>를 만들어 자신의 서랍 격인 이승에 넣어 두었는데,	以及作为〈戈耳工〉↵紧急出口钥匙的↵〈白色果汁〉，↵放进了自己的↵抽屉，也就是↵阳间，	
049.1	~		保留原文
049.2	그<화이트 쥬스>를 찾아 절대 법구<엑시트>에 넣고 태우면...	找到那〈白色果汁〉，放进绝对法具〈EXIT〉里焚烧...	
050.0	방금 말한 고르곤의 <비상구>인	刚才说的戈耳工的〈紧急出口〉	
050.1	〈퍼플 홀리룸>이 생겨 탈출이 가능하게 된다.	〈紫色圣室〉就会出现，从而得以逃脱。	
050.2	할매를... 다시 만날 수 있어!!!	就能.. 再见到奶奶了!!!	
051.0	그러니 너는. 갈멜레이어가 뚫리기 전에, 슈빌보다 먼저 그 화이트 쥬스를 찾아 와야 한다.	所以你。必须在↵迦密层被攻破之前，↵赶在修比尔前面↵找到那份白色果汁。	
051.1	뭐?!	什么?!	
052.0	병준		保留原文
052.1	독 자식복		保留原文
052.2	슈빌은 오래전부터 이번 우주 대선에서 패할 시에 이승을 <멸망>시킬 흉망들을 고르곤 안에 모으고 있었다.	修比尔很早以前就在↵戈耳工里聚集凶亡，↵准备一旦在这次宇宙大选↵中落败，就让阳间〈灭亡〉。	
053.0	그런데 거기다 방바다가 재를 뿌린 거고..	可方巴达却往里头泼了盆冷水..	
053.1	이런 비열한 새끼 !!!!	这个卑鄙的↵混蛋!!!!	
054.0	신은 이런 일을 대비해 보라색 이상의 존재들은 화이트 쥬스를 찾지 못하게 설정해 뒀지만,	神为防备这种事，设定了↵紫色以上的存在无法找到↵白色果汁，	
