块编号	韩文原文	中文译文	备注
000.0	제가 가진게 꼴랑 요괴 물건 하나가 아니라서...	因为我手里可不止一件妖怪法宝……	
000.1	1⑥		保留原文
000.2	®		保留原文
000.3	구		保留原文
001.0	역시는 역시지.	果然还得是这个。	
001.1	워핸드..!	战争手……！	
001.2	엑, 뭐야?	咦，什么玩意？	
001.3	저게 왜 저기 붙어 있어??	那东西怎么黏在那儿了？？	
002.0	마, 말세 입니다 다닥;;	末、末世了了了;;	
002.1	불경하다..	不敬……	
003.0	<중급> 「동시접기」	<中级>↵「同时折」	
004.0	「 우_봄」	「右_轰」	
005.0	「좌_ 」	「左_炸」	
005.1	「 융합」	「融合」	
006.0	어디... 이것도 한 번 날려 봐...	来啊……↵这个也打飞↵给我看看……	
009.0	종이접기는 너무 오래 걸린다고..	折纸太费↵时间了……	
009.1	꾸깃	揉皱	
010.0	감사합니다 마스터!!!	谢谢您 主人!!!	
010.1	휙	唰	
010.2	아버님 의손	父亲大人↵的手	
010.3	나취	给我	
010.4	나줘!	给我!	
010.5	흥, 감히 요괴라고 했겠다?	哼，你竟敢↵说「妖怪」？	
010.6	아..하하..;; 그건 대화 흐름상..;;;	啊..哈哈..;;↵那只是顺着↵话说的..;;;	
011.0	..원숭이..!	..猴子..!	
011.1	꼴깍; 요괴 본인 등판..	咕咚; 妖怪↵本尊登场..	
011.2	풉- 키스12 한테도 빌빌 거리던 게 허세는~	噗- 在基斯12↵面前都软趴趴↵的家伙，倒↵挺会装~	
012.0	..빌빌?	..软趴趴？	
012.1	기습에 장사나기	偷袭之下↵没有强者	
013.0	휘		保留原文
013.1	릭		保留原文
014.0	!!!		保留原文
015.0	여기에 너보다 아랫사람은 없다.	这里没有比你↵地位更低的人。	
015.1	0000		保留原文
015.2	1~		保留原文
015.3	목소리를 낮춰라.	把声音放低。	
015.4	풉-	噗-	
016.0	) 여기에,	这里，	
016.1	사람이 어딨니	哪有「人」啊	
017.0	저울」	「天秤」	
018.0	홀쭉	瘪	
019.0	척	咔	
019.1	0000		保留原文
019.2	빠직	青筋	
019.3	잔재주를...	雕虫小技……	
019.4	꺄하하	咔哈哈	
019.5	발리니깐 잔재주 란다~!	打不过就说是↵雕虫小技咯~!	
020.0	쿡쿡쿡.. 여의봉이 이쑤시개가 됐습니다..	咕咕咕.. 如意棒↵变成牙签了..	
020.1	마지막 기회를 주마 원숭이.	给你最后一次↵机会，猴子。	
020.2	지금이라도 상계를 위해서 싸워라.	现在开始也行，↵为上界而战吧。	
022.0	하아....	哈啊....	
022.1	벅		保留原文
022.2	벅		保留原文
022.3	그래... 마지막 기회다 이거지.. 뚜두부		保留原文
022.4	그래... 마지막 기회다 이거지..	是啊... 最后的↵机会是吧..	手工拆分/补录
023.0	쟝난감 뺏기고 울지나 마라 요 꼬맹이들아.	玩具被抢走了↵可别哭鼻子啊，↵你们这些小鬼。	
023.1	신통력	神通力	
024.0	우		保留原文
025.0	110010		保留原文
026.0	72 체 「분신술」	72体↵「分身术」	
027.0	펑;		保留原文
030.0	이런 샹!! 부•	可恶 尚!!	
030.1	들		保留原文
030.2	들		保留原文
030.3	부		保留原文
030.4	망들의 기세가 다시 살아났 잖아!!	妄想联合↵那帮家伙↵的气势↵又活过↵来了!!	
031.0	망상연합이라...	妄想联合啊……	
031.1	이럴땐 우리도 좀 뭉쳐야 하는데..	这种时候我们↵也该团结一点……	
032.0	...좀 쓸만한 중의원 놈들은	...稍微能用的↵那些中议员	
032.1	이 핑계 저 핑계.. 몸만 사리니...	这个借口那个借口..↵光顾着保命...	
033.0	우리가 영멸되면 거저 대의원이 될 텐데 참전할 리가~	我们要是被永灭，↵他们白捡个大议员，↵怎么可能参战~	
033.1	이런 원숭이 만도 못한 놈들!!	这帮连猴子↵都不如的↵家伙!!	
033.2	죽)		保留原文
033.3	사		保留原文
034.0	!!!!		保留原文
034.1	오, 드디어 손을 인정?	哦，终于↵认可我孙某了？	
034.2	샹!!	尚!!	
034.3	전부 뚫어 주마!!!!	全部↵捅个↵对穿↵!!!!	手工拆分/补录
035.0	아 왜~ 분신술에 암력을 절반 이상 태워줬구만 ㅋ	干嘛呀~ 分身术可↵烧了我一半以上↵的暗力呢 呵	
035.1	번쩍	闪	
035.2	번쩍	闪	
035.3	번쩍	闪	
035.4	그러고 보니...	说起来...	
035.5	우리 잘난 사신 나리들은 아직도 그러고들 있나..?	我们那些了不起的↵死神大人们，↵还在那样耗着吗..?	
036.0	편 펴	展开	
036.1	펑	砰	
036.2	뭐 아무래도...	嘛，不管怎么说...	
036.3	너무 오랜 시간 잘못된 정의에 물들어 있었으니깐..	毕竟被错误的正义↵浸染了太久..	
037.0	하계 교도소	下界监狱	
037.1	넷! 폐하!	是! 陛下!	
038.0	천		保留原文
038.1	슬래셔 교도소장	斯莱瑟↵典狱长	
038.2	사자 놈들은 아직 이냐 ?!?	那帮使者↵还是↵老样子?!?	
038.3	염 헬 2세 하계 왕	阎·赫尔二世↵下界王	
039.0	그.. 그게...	那.. 那个...	
039.1	주목	注目	
039.2	우린, 군인이 아닌 사신이다!	我们是死神，不是军人!	
040.0	사신은 어떠한 상황에서도 령을 인도한다!	死神在任何情况下↵都要引导亡灵!	
040.1	가서 맡은 바 사신의 책무를 다하라!!!	去尽到你们身为↵死神的职责!!!	
041.0	다해라.	尽责去。	
041.1	명.	命。	
042.0	받잡겠! 습니다!!!		保留原文
043.0	아시듯이.. 사자 놈들이 지부장 놈들 말만 들어서..	您也知道..↵那帮使者只听↵支部长的话..	
043.1	제대로 고문하고 있는 거 맞아 ?!?	你们真的在↵好好拷问吗?!?	
043.2	왜 끄떡도 안 하는 건데!!!	为什么一点↵反应都没有!!!	
044.0	니놈 때문에 내가 슈빌님 뵐 면목이..	都怪你，我都↵没脸见修比尔↵大人了..	
044.1	죄, 죄송 합니다!! 정말 매일 최고 레벨로 고문하고 있는데...	对、对不起!!↵真的每天都用↵最高等级拷问...	
044.2	워낙에.. 쇠고집들 이라서...	实在是.. 他们↵太顽固了...	
046.0	..이브..	..夏娃..	
047.0	아담은 신이 직접 빚어낸 신연이지만	亚当是神亲手↵塑造的神之造物	
047.1	아담의 봉제품 일뿐	而你只不过是↵亚当的缝制品	
047.2	천천히 꼭꼭 씹어.	慢慢地，细细地嚼。	
047.3	제할라.		保留原文
047.4	그런 네가 아담의 눈에 절대 찰리가 없지...	这样的你，绝不↵可能入亚当的眼...	
047.5	아마... 곧 버려지고 말걸?	大概... 很快就↵会被丢弃吧？	
048.0	...자책 끝.	...自责结束。	
049.0	SAAAK		保留原文
050.0	단군-		保留原文
053.0	이런 샹!! 떡		保留原文
053.1	이런 샹!!	可恶 尚!!	手工拆分/补录
054.0	더는 못 참아!!	再也忍不了了!!	
055.0	저런.. 나중을 위해 힘 좀 아껴 두라니깐..	哎呀.. 都说了要为↵之后留点力气..	
055.1	후후, 이정도면 샹치곤 오래 참은거지.	呵呵，以尚的性子，↵忍到这份上↵已经算久了。	
057.0	FU L 발2	FULL↵發氣	
057.1	FULL 모자이크	FULL↵马赛克	手工拆分/补录
061.0	원바		保留原文
068.0	전부 죽을거다..	全都会死的..	
068.1	타다;		保留原文
069.0	온다!	来了!	
070.0	<고다> 「동시접기」	<高级>↵「同时折」	
072.0	190,000000		保留原文
073.0	완성.	完成。	
073.1	휴일콤	折纸↵圣域穹顶	
073.2	이접기		保留原文
074.0	오오.	哦哦。	
074.1	비블리온을 4장이나	竟然用了↵4张比布利翁..!	
074.2	12		保留原文
076.0	내가 너를 기억하마.	我会记住你的。	
076.1	1잉		保留原文
076.2	「원능」	「权能」	
079.0	이		保留原文
079.1	권능?	..权能？	
080.0	암당의 권력이...	暗党的权力...	
080.1	당을 초월했다..?	超越明党了..?	
081.0	그래서, 어쩌라고!!	所以呢，那又怎样!!	
081.1	콰 전력변형 「신궁」		保留原文
081.2	전력변형 「신궁」	全力变形↵「神弓」	手工拆分/补录
082.0	나를,	都来，	
083.0	숭배하라.	膜拜我吧。	
086.0	핑-	铮-	
088.0	!!		保留原文
088.1	빠직	青筋	
088.2	뭐야 상!!	什么啊 尚!!	
089.0	...꼴까닥.	...咕咚。	
089.1	전부... 썩어버려	全都... 烂掉吧	
092.0	간지례 샹! 워배트 Stimode		保留原文
092.1	벅		保留原文
092.2	벅		保留原文
092.3	...오히려 더 강해졌어..;;	...反而变得更强了..;;	
092.4	펑		保留原文
092.5	간지러 샹!!	好痒↵尚!!	手工拆分/补录
092.6	워배트 STImode	「战争棒」↵STI mode	手工拆分/补录
093.0	마지막 기회다 꼬맹이.	最后的机会了，↵小鬼。	
093.1	펑		保留原文
093.2	하계를 위해 싸워라.	为下界而战吧。	
093.3	익		保留原文
094.0	빠직	青筋	
094.1	이.. 이놈..!	这、这家伙..!	
094.2	꾸욱..	攥紧..	
095.0	...진짜냐 레드...	...是真的吗，雷德...	
095.1	...정말 우리의 정의는...	...我们的正义真的...	
095.2	...여기까지인 거냐....	...就到此为止了吗....	
096.0	뽕	噗	
096.1	뽕	噗	
096.2	팟		保留原文
097.0	뿌		保留原文
098.0	1o-o		保留原文
100.0	1고		保留原文
100.1	파직		保留原文
101.0	파식		保留原文
101.1	파직		保留原文
101.2	파직		保留原文
101.3	파직		保留原文
101.4	파직		保留原文
101.5	저, 저건..!	那、那是..!	
102.0	파직		保留原文
102.1	파직		保留原文
102.2	파직		保留原文
102.3	파직		保留原文
102.4	파		保留原文
102.5	파직		保留原文
102.6	파직		保留原文
102.7	상계국 보 오파님 종말급 전 차	上界国宝↵奥法尼姆↵终末级↵战车	
102.8	파직		保留原文
103.0	슈빌..	修比尔..	
103.1	응.	嗯。	手工拆分/补录
105.0	제법 끔찍한 일을 저질렀구나?	你可干了件相当↵可怕的事啊？	
105.1	엘 대전	艾尔↵大天使	
105.2	그 아담을 이런 식으로 멸하다니..	竟然用这种方式↵灭掉那个亚当..	
105.3	잔머리가 굉장하네..?	小聪明真↵了不得啊..?	
105.4	이 대천 사	伊↵大天使	
105.5	못 보던 녀석인데..	没见过的家伙啊..	
105.6	에덴 밖에서 왔나?	是从伊甸↵外面来的？	
105.7	오 대천사	奥↵大天使	
106.0	파직		保留原文
106.1	직		保留原文
106.2	파직		保留原文
106.3	파직		保留原文
106.4	'오'다.	是「奥」。	
108.0	오. 명당 (상계) [대의원]	奥↵明党(上界)↵[大议员]	
108.1	명이 옳고 암이 그르다.	明为正，暗为邪。	
109.0	SAAAK		保留原文
109.1	만화는입구가아닌탈출구입니다 따라하지마시고해소하세요 @: SVVVK.exe	漫画是出口而非入口 请勿模仿请借此宣泄 @: SVVVK.exe	
