块编号	韩文原文	中文译文	备注
000.0	부들	抖	
000.1	..안.. 돼....	……不……行……	
003.0	..저녀석....	……那家伙……	
003.1	...버티고 있어..!	……还撑着呢……!	
004.0	그래.. 죽어도 안 일어난다 이거지....	好啊……死也不肯起来是吧……	
005.0	그럼 죽어.	那就去死。	
007.0	.젠장..	……可恶……	
008.0	부들	抖	
008.1	부들	抖	
008.2	...안 떨어져.	……甩不掉。	
008.3	제잉	嗡	
008.4	..슈빌님...	……修比尔大人……	
010.0	형이식센터	形移植中心	
010.1	...키우던 고양이를 죽인거냐?	……你把养的猫杀了？	
010.2	.네	……是。	
010.3	앗 아버님이 말씀을	啊 父亲大人开口了	
011.0	잘했네.	做得好。	
012.0	....부디....	……拜托了……	
013.0	움찔	一颤	
013.1	움찔	一颤	
013.2	움찔	一颤	
013.3	움찔	一颤	
014.0	상계게이트 홀리클라우드	上界之门↵圣云	
015.0	AR		保留原文
016.0	!	！	
017.0	온다...	来了……	
017.1	와라.	来吧。	
018.0	..		保留原文
021.0	R		保留原文
022.0	777 심판특임대	777↵审判特任队	
024.0	•-#특흑두두두유		保留原文
024.1	#•#두육두		保留原文
025.0	블랙 명당(상계) [중의원]	布莱克 明党(上界) [中议员]	
026.0	꺄하하하-	咔哈哈哈-	
026.1	핑.화이트 명당(상계) [중의원]	平·怀特 明党(上界) [中议员]	
027.0	꼴까닥...	咕咚……	
027.1	데드. 일 명당(상계) [중의원]	戴德·佩尔 明党(上界) [中议员]	
028.0	Jr		保留原文
028.1	폴더. 레드 명당(상계) [중의원]	福德·雷德 明党(上界) [中议员]	
030.0	상계 보물 비블리온	上界宝物↵比布利翁	
031.0	하계군을 막고 "기존의 정의 를 지켜라.	挡住下界军，守住「既有的正义」。	
032.0	「엘」님의 말씀입니다.	这是「艾尔」大人的旨意。	
032.1	거룩하시다.	圣哉。	
033.0	샹 계군 !!!	上↵界军↵!!!	
033.1	주 0만 나주		保留原文
033.2	4		保留原文
033.3	클클클.. 특임대에 다선 중의원들 이라...	咕咕咕……特任队还配上连任的中议员……	
034.0	날 잡았네~	挑了个好日子啊~	
037.0	아 끼릭 끼릭		保留原文
038.0	두	咚	
038.1	두	咚	
038.2	두	咚	
045.0	「플레이그 플래그」 PLAGUE	「瘟疫之旗」↵PLAGUE FLAG	
045.1	FLAG		保留原文
048.0	iit		保留原文
049.0	평. 펑		保留原文
049.1	평형 펑		保留原文
049.2	성		保留原文
049.3	펑		保留原文
049.4	명시		保留原文
049.5	아		保留原文
050.0	아 10 아		保留原文
050.1	0		保留原文
050.2	불		保留原文
050.3	불.		保留原文
050.4	부		保留原文
050.5	물		保留原文
053.0	저런 무능한 암당 놈들을 지지한다니~ 이승 놈들은 대체 무슨 생각인 거지?	竟然支持那种无能的暗党~ 阳间那帮家伙到底在想什么？	
053.1	클클클.. 명당 중의원 들이 우리 중의원 보다 나은데..?	咕咕咕……明党的中议员比我们的中议员强嘛……？	
054.0	후.. 존나나 너마저...	呼……连你也不行了吗，尊娜娜……	
054.1	이신. [UKO] 테스트 다.	伊辛。[UKO] 测试。	
055.0	{0		保留原文
055.1	초미세자폭비행단	超微型自爆飞行团	手工拆分/补录
056.0	이		保留原文
056.1	8		保留原文
056.2	클클클.. 그래.. 요즘은 저런게 경제적 이고 좋지..	咕咕咕……是啊……如今那种才叫经济实惠……	
056.3	평	砰	
057.0	슝	咻	
057.1	슝	咻	
057.2	너무 작아!!	太小了!!	
058.0	너무 작음...	太小了……	
058.1	레드.	雷德。	
058.2	쪼물 쪼물	揉 揉	
059.0	완성.	完成。	
059.1	종이접기	折纸	
059.2	「전투기」	「战斗机」	
060.0	슝~	咻~	
065.0	꺄하하~ 꼴좋다 날파리 놈들!!	咔哈哈~ 活该啊你们这些苍蝇!!	
065.1	꼴까닥.. 전멸 입니다...	咕咚……全灭了……	
066.0	뭐야 샹!!	什么啊 尚!!	
066.1	저녀석.. 암력이 중의원 사이즈가 아닌데..	那家伙……暗力的规格根本不是中议员级别……	
066.2	'비블리온'	「比布利翁」	
066.3	두루마리의 특수력이야.	是那卷轴的特殊力量。	
067.0	짝		保留原文
067.1	척		保留原文
068.0	꾸깃	咯吱	
069.0	완성.	完成。	
069.1	종이접기 「폭격기」	折纸「轰炸机」	
072.0	와 아아아아아		保留原文
073.0	2단.	第二段。	
074.0	기!!		保留原文
074.1	「역주행」 꺄아아아악!!! 꼴까닥 입니다다닥!!! 아		保留原文
074.2	슈		保留原文
074.3	역주행	「逆行」	手工拆分/补录
074.4	꺄아아아악!!!	咔啊啊啊啊!!!	手工拆分/补录
074.5	꼴까닥 입니다다다닥!!	咕咚 是是是是!!	手工拆分/补录
075.0	0000		保留原文
075.1	요요		保留原文
076.0	「 롱슬리퍼」 Long sleeper	「长眠者」↵Long sleeper	
077.0	(⅛		保留原文
077.1	G6B		保留原文
077.2	파.. 파츠산..?!	芭……芭蕉扇……?!	
078.0	비행기의 약점은 역시 바람이겠죠?	飞机的弱点果然还是风吧？	
078.1	파주주 암당 (하계) [ 보좌관]	帕祖祖 暗党(下界) [辅佐官]	
078.2	파 초산 Mk .ㅍ	芭蕉扇 Mk.Ⅱ	
078.3	죠르디 [ 무직 ]	乔尔迪 [无业]	
