块编号	韩文原文	中文译文	备注
000.0	두		保留原文
000.1	두		保留原文
000.2	두 두 두		保留原文
000.3	두 두		保留原文
000.4	두		保留原文
003.0	팟		保留原文
004.0	아 애 킥습		保留原文
004.1	키스12!!	基斯12!!	手工拆分/补录
005.0	최후의, • 만찬이다!!	最后的，↵晚餐!!	
012.0	저런, 브신이 ..!!	哎呀，是分身..!!	
013.0	『죄인의 창자』	『罪人的↵肠子』	
013.1	드디어 본 모습을 드러냈구나..	终于露出真面目了啊..	
015.0	키스12.	基斯12。	
015.1	오장육분		保留原文
017.0	분해		保留原文
021.0	쾅	轰	
021.1	쾅	轰	
025.0	명		保留原文
025.1	기		保留原文
025.2	구		保留原文
026.0	하계군 야차 특 전 대	下界军↵夜叉特战队	
030.0	앙		保留原文
033.0	!!!!		保留原文
034.0	잡았다!	抓住了!	
043.0	스		保留原文
043.1	스		保留原文
043.2	스		保留原文
046.0	Anti-Cross 화		保留原文
047.0	콩		保留原文
049.0	스륵		保留原文
050.0	퍼평		保留原文
050.1	내가 너를 기억하마.	我会记住你的。	
052.0	a B		保留原文
052.1	8		保留原文
052.2	V		保留原文
054.0	방심하지 말라고..	说了别大意..	
055.0	...더럽게.	...脏死了。	
055.1	꾸깃		保留原文
055.2	뭐야 ??!!	什么 ??!!	
055.3	샹 대체 뭐가 더럽단 거냐!!	尚，到底↵哪里脏了!!	
056.0	똥꼬리.	屎尾巴。	
059.0	외 변 고양이	外变形♥↵狙击猫	
059.1	저격		保留原文
059.2	엣-취©	阿-嚏©	
062.0	사뿐	轻轻	
062.1	_사뿐	轻轻	
064.0	..부끄러...	..好害羞...	
064.1	휘		保留原文
064.2	이		保留原文
065.0	찔		保留原文
065.1	슬금		保留原文
065.2	슬		保留原文
065.3	금		保留原文
065.4	슬금		保留原文
065.5	슬금		保留原文
065.6	클클클... 망들의 기세가 떨어졌군..	咕咕咕... 妄想联合↵那帮家伙的↵气势掉下去了..	
066.0	샹!!	尚!!	
066.1	밀어붙여!!	压上去!!	手工拆分/补录
068.0	오		保留原文
068.1	오		保留原文
068.2	하하, 하계는 역시 육군 인가.	哈哈，下界果然↵还是陆军啊。	
069.0	딱 기다리 라고 키스..	你给我等着，↵基斯..	
069.1	?		保留原文
069.2	...저런 게 원래 있었나..?	...原来有那种东西吗..？	
069.3	몽실 몽실	蓬松 蓬松	
070.0	어?	咦？	
071.0	뽁		保留原文
071.1	꺅!	呀!	
071.2	~		保留原文
072.0	뭐야 씨.. 이 애들 장난감은..	搞什么啊.. 这些↵小孩的玩具..	
072.1	지잉	嗡	
074.0	내 도시락!!	我的↵便当!!	
076.0	꾸물		保留原文
076.1	꾸물		保留原文
076.2	꾸물		保留原文
076.3	꾸물		保留原文
076.4	SAAAK		保留原文
077.0	반갑다 광남아.	好久不见，光南。	
077.1	스 윽		保留原文
078.0	.......		保留原文
078.1	설마.... 그때....	难道.... 那时候....	
079.0	...아트만으로 흡수된 건가...	...被阿特曼吸收了吗...	
080.0	안드••		保留原文
080.1	부를		保留原文
080.2	부들		保留原文
080.3	부들		保留原文
080.4	..하..지마....	..住..手....	
081.0	...제발..... 부탁..이야...	...求求你..... 拜托..了...	
082.0	들		保留原文
082.1	부들		保留原文
083.0	너도 한 번 당해봐..!	你也尝尝这滋味..!	
083.1	만화는입구가아닌탈출구입니다 따라하지마시고해소하세요 @ : SvK.exe	漫画是出口而非入口 请勿模仿请借此宣泄 @: SvK.exe	
