块编号	韩文原文	中文译文	备注
069.4	하르방이랑 현우는 아직 그러고 있어?!?	哈鲁邦和贤宇↵还在那么↵折腾吗?!?	手工拆分/补录
069.5	쿵.. 응..	咚..↵嗯..	手工拆分/补录
070.0	하아- 아무리 생각 해도 삼신한테 당한 거 같은데 답답하네 진짜..	唉- 怎么想都觉得是被三神摆了一道，真憋屈..	
070.1	랭 육두패 갑동대장	兰波↵六斗派↵甲洞队长	
071.0	<중촌지하2층 - 북두촌>	<中村地下2层 - 北斗村>	
071.1	부들 부를	抖 抖	
071.2	헌 우 육 두패 을동대장 후	贤宇↵六斗派↵乙洞队长候补	
071.3	보		保留原文
072.0	집중.	集中。	
072.1	깜		保留原文
072.2	니다시	对不起!!	
073.0	그, 그런데 삼신...	那、那个 三神...	
073.1	노력		保留原文
073.2	정말.. 이것만 으로도 강해질 수 있나요..?	真的.. 光靠这个就能变强吗..?	
074.0	삼신!! 중립!!을 지키려는 마음!!은 알지만!! 이미 이번 대선!!은 공정성!!을 잃었다!!	三神!! 你想守住!!中立!!的心↵我懂!! 但这次大选!!↵早就失去公正了!!	
074.1	도와 주십쇼 !!! (	请帮帮↵我们!!!	
074.2	도와!! 다오!!	帮!!↵帮我们!!	
075.0	이대론 형님에게 도움이 되질 못합니다	这样下去↵我帮不上↵大哥的忙	
075.1	노력		保留原文
075.2	좋아.. 도와주지.	好吧.. 我帮你们。	
075.3	매일 시끄러....	天天吵死了....	
075.4	정말!!!! ..이요.?!	真、真的↵吗?!	
076.0	..대신..	..不过..	
076.1	훈련에 실패하면, 니들도 장광남을 깨끗하게 포기해.	要是训练失败，你们就干干净净地放弃张光南。	
076.2	삼 선 중촌의 주인	三神↵中村之主	
077.0	지금 날 의심하는 거지?	你现在是在怀疑我？	
077.1	죄송 합니다 !!!	对不起↵!!!	
078.0	덜		保留原文
079.0	한 개!! 더( 완성!! (까득)	又一个!!↵完成!!↵(咔嘣)	
079.1	척		保留原文
079.2	부를		保留原文
079.3	부들		保留原文
079.4	들		保留原文
080.0	바보 같은 놈들...	一群蠢货...	
082.0	기다 려라!! 아우!!	等着吧!!↵老弟!!	
082.1	<특 훈> 100미터 소원탑 1000가	<特训>↵堆1000座↵100米许愿塔	
082.2	! 쌓기		保留原文
084.0	핫핫핫~ 개표자는 과연 또 한 번 티켓을 지켜낼 수 있을 것인가~	哈哈哈~ 开票人这回还守得住票吗~	
084.1	봉(선 데스티켓 99장	凤仙↵死亡票↵99张	
085.0	지둥(맥) 데스티켓	地龙(脉)↵死亡票↵41张	
086.0	세세 데스티켓 1정	世世↵死亡票↵1张	
